Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Chajarí sufre las consecuencias de Vuelco de vehículo de pasajeros, Entre Ríos","Autoridades confirmaron un vuelco de vehículo de pasajeros en Chajarí, Entre Ríos. El incidente interrumpiendo servicios básicos en toda la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Vuelco de vehículo de pasajeros,-30.717535,-58.039427,06/01/2007
"Emergencia en aeropuerto sorprende a habitantes de Aimogasta, La Rioja","Autoridades confirmaron un emergencia en aeropuerto en Aimogasta, La Rioja. El incidente afectando gravemente la infraestructura local. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Emergencia en aeropuerto,-28.607293,-66.844427,25/12/2004
"Declaran emergencia tras Accidente vehicular en Malargüe, Mendoza","Un grave accidente vehicular se registró en Malargüe, Mendoza. El incidente interrumpiendo servicios básicos en toda la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Accidente vehicular,-35.510359,-69.582077,22/01/2012
"Consecuencias graves tras Apagón general en Puerto Iguazú, Misiones","Autoridades confirmaron un apagón general en Puerto Iguazú, Misiones. El incidente afectando el normal desarrollo de actividades en la zona. El municipio ha activado el protocolo de emergencias para esta situación.",Apagón general,-25.648749,-54.541674,18/02/2001
"Serio incidente: Accidente con transporte público en Pehuajó, Buenos Aires","Autoridades confirmaron un accidente con transporte público en Pehuajó, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Accidente con transporte público,-35.847392,-61.852581,30/09/2024
Consecuencias graves tras Pérdida de gas con evacuación en Santa Rosa,"Un grave pérdida de gas con evacuación se registró en Santa Rosa, La Pampa. El incidente provocando pánico entre los residentes locales. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Pérdida de gas con evacuación,-36.624572,-64.318442,08/06/2017
"Impacto de Accidente vehicular en comunidad de San Telmo, CABA","Autoridades confirmaron un accidente vehicular en San Telmo, CABA. El incidente dejando un rastro de destrucción importante. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Accidente vehicular,-34.589924,-58.371937,11/02/2007
"Accidente en refinería afecta a Santiago del Estero, Santiago del Estero","Un grave accidente en refinería se registró en Santiago del Estero, Santiago del Estero. El incidente generando caos en el transporte público y privado. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Accidente en refinería,-27.830999,-64.245055,20/05/2024
"Alerta por Vuelco de vehículo de pasajeros en Formosa, Formosa","Autoridades confirmaron un vuelco de vehículo de pasajeros en Formosa, Formosa. El incidente bloqueando las principales vías de acceso. La población ha sido alertada para tomar precauciones adicionales.",Vuelco de vehículo de pasajeros,-26.161537,-58.20196,05/04/2010
Villa Regina en alerta por Fallo en sistema de seguridad industrial,"Grave fallo en sistema de seguridad industrial ocurrió en las inmediaciones de Villa Regina, Río Negro. El incidente dejando varios heridos y daños materiales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Fallo en sistema de seguridad industrial,-39.058289,-67.023553,04/08/2015
Confirman Fallo en sistema eléctrico de gran magnitud en Las Breñas,"Un grave fallo en sistema eléctrico se registró en Las Breñas, Chaco. El incidente dejando varios heridos y daños materiales. Equipos de rescate continúan buscando posibles víctimas.",Fallo en sistema eléctrico,-27.047222,-61.104507,04/10/2001
Confirman Colisión de tren de carga de gran magnitud en Chepes,"Autoridades confirmaron un colisión de tren de carga en Chepes, La Rioja. El incidente provocando cortes de energía y problemas en el suministro de agua. El municipio ha activado el protocolo de emergencias para esta situación.",Colisión de tren de carga,-31.329046,-66.553192,19/09/2002
"Equipos de emergencia atienden Aterrizaje de emergencia en Gaiman, Chubut","Un grave aterrizaje de emergencia se registró en Gaiman, Chubut. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se han habilitado refugios temporales para las familias afectadas.",Aterrizaje de emergencia,-43.309901,-65.499821,02/01/2013
"Emergencia por Fuga en planta industrial en Pirané, Formosa","Un grave fuga en planta industrial se registró en Pirané, Formosa. El incidente dejando varios heridos y daños materiales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Fuga en planta industrial,-25.692584,-59.145985,08/10/2005
"Concepción del Uruguay sufre las consecuencias de Fallo en planta procesadora, Entre Ríos","Un grave fallo en planta procesadora se registró en Concepción del Uruguay, Entre Ríos. El incidente generando serios daños ambientales en la región. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Fallo en planta procesadora,-32.449218,-58.190357,24/06/2022
"Alerta por Colapso de puente en Comodoro Rivadavia, Chubut","Grave colapso de puente ocurrió en las inmediaciones de Comodoro Rivadavia, Chubut. El incidente afectando el normal desarrollo de actividades en la zona. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Colapso de puente,-45.901738,-67.513528,31/05/2002
Habitantes de Pehuajó afrontan Derrumbe parcial,"Un grave derrumbe parcial se registró en Pehuajó, Buenos Aires. El incidente generando caos en el transporte público y privado. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Derrumbe parcial,-35.84883,-61.908823,15/11/2006
"Metán sufre las consecuencias de Descarrilamiento con derrame, Salta","Grave descarrilamiento con derrame ocurrió en las inmediaciones de Metán, Salta. El incidente destruyendo viviendas y dejando a familias evacuadas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Descarrilamiento con derrame,-25.474449,-65.021415,07/02/2018
Corte prolongado de energía causa estragos en Yerba Buena,"Un grave corte prolongado de energía se registró en Yerba Buena, Tucumán. El incidente causando pérdidas millonarias y afectando a cientos de personas. El municipio ha activado el protocolo de emergencias para esta situación.",Corte prolongado de energía,-26.809017,-65.307199,02/10/2007
Equipos de emergencia atienden Fallo en sistema de seguridad industrial en San Miguel de Tucumán,"Autoridades confirmaron un fallo en sistema de seguridad industrial en San Miguel de Tucumán, Tucumán. El incidente obligando a evacuar a residentes de la zona. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Fallo en sistema de seguridad industrial,-26.765512,-65.191762,30/12/2024
"Alerta por Incendio en viviendas en Sarmiento, Chubut","Un grave incendio en viviendas se registró en Sarmiento, Chubut. El incidente provocando la activación de protocolos de emergencia. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Incendio en viviendas,-45.534183,-69.101155,10/04/2008
"Accidente vehicular deja múltiples daños en Viedma, Río Negro","Un grave accidente vehicular se registró en Viedma, Río Negro. El incidente dejando a la población incomunicada por varias horas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Accidente vehicular,-40.789128,-62.947437,02/11/2012
"Colapso de estructura deja múltiples daños en Santa Fe, Santa Fe","Autoridades confirmaron un colapso de estructura en Santa Fe, Santa Fe. El incidente generando preocupación entre autoridades provinciales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Colapso de estructura,-31.61647,-60.656351,17/05/2007
Se reporta Accidente en planta industrial en zona de Aristóbulo del Valle,"Autoridades confirmaron un accidente en planta industrial en Aristóbulo del Valle, Misiones. El incidente generando caos en el transporte público y privado. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Accidente en planta industrial,-27.11283,-54.862856,27/09/2011
"Preocupación por Colisión frontal en Chamical, La Rioja","Un grave colisión frontal se registró en Chamical, La Rioja. El incidente provocando pánico entre los residentes locales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Colisión frontal,-30.390049,-66.330822,18/09/2023
Alerta por Colisión de tren de carga en Azul,"Autoridades confirmaron un colisión de tren de carga en Azul, Buenos Aires. El incidente provocando pánico entre los residentes locales. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Colisión de tren de carga,-36.805348,-59.848108,17/04/2024
Impacto de Caída de aeronave en comunidad de Las Lomitas,"Un grave caída de aeronave se registró en Las Lomitas, Formosa. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Caída de aeronave,-24.716402,-60.641737,06/11/2014
Equipos de emergencia atienden Accidente de avión en Chepes,"Un grave accidente de avión se registró en Chepes, La Rioja. El incidente dejando a varios sectores sin comunicación. Equipos de rescate continúan buscando posibles víctimas.",Accidente de avión,-31.353238,-66.611826,15/04/2010
Gaiman sufre las consecuencias de Fallo en sistema eléctrico,"Un grave fallo en sistema eléctrico se registró en Gaiman, Chubut. El incidente causando pérdidas millonarias y afectando a cientos de personas. El municipio ha activado el protocolo de emergencias para esta situación.",Fallo en sistema eléctrico,-43.263754,-65.508573,02/02/2020
Fuego en local comercial afecta a Pirané,"Grave fuego en local comercial ocurrió en las inmediaciones de Pirané, Formosa. El incidente dejando a varios sectores sin comunicación. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fuego en local comercial,-25.749525,-59.065833,12/05/2013
"Emergencia en aeropuerto genera crisis en Curuzú Cuatiá, Corrientes","Autoridades confirmaron un emergencia en aeropuerto en Curuzú Cuatiá, Corrientes. El incidente generando serios daños ambientales en la región. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Emergencia en aeropuerto,-29.758681,-58.019848,03/08/2005
"Declaran emergencia tras Incidente aéreo en Las Lomitas, Formosa","Un grave incidente aéreo se registró en Las Lomitas, Formosa. El incidente con un saldo inicial de varias personas heridas. Equipos de rescate continúan buscando posibles víctimas.",Incidente aéreo,-24.716241,-60.582611,30/06/2023
Fuga en planta industrial impacta en Rosario,"Un grave fuga en planta industrial se registró en Rosario, Santa Fe. El incidente destruyendo viviendas y dejando a familias evacuadas. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Fuga en planta industrial,-32.943844,-60.64566,29/08/2016
Choque de formaciones ferroviarias deja múltiples daños en Chepes,"Grave choque de formaciones ferroviarias ocurrió en las inmediaciones de Chepes, La Rioja. El incidente obligando a evacuar a residentes de la zona. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Choque de formaciones ferroviarias,-31.299172,-66.6178,01/01/2017
